team_turnovers,team_rebounds,team_offensive_rebounds,team_defensive_rebounds,bench_points,starter_points,biggest_lead,biggest_scoring_run,points,assists,rebounds,defensive_rebounds,offensive_rebounds,steals,blocks,blocks_received,turnovers,three_points_made,three_point_attempts,three_point_percentage,two_points_made,two_point_attempts,two_point_percentage,field_goals_made,field_goal_attempts,field_goal_percentage,contested_field_goals_made,contested_field_goal_attempts,uncontested_field_goals_made,uncontested_field_goal_attempts,jumpshots_made,jumpshot_attempts,dunks_made,dunk_attempts,layups_made,layup_attempts,offensive_fouls,defensive_fouls,personal_fouls,technical_fouls,unsportsmanlike_fouls,fouls_received,offensive_fouls_received,defensive_fouls_received,free_throws_made,free_throw_attempts,free_throw_percentage,fastbreak_points,fastbreak_attempts,turnover_points,points_in_the_paint,points_in_the_paint_made,points_in_the_paint_attempts,perimeter_points,perimeter_points_made,perimeter_point_attempts,second_chance_points,plus_minus,minutes_played,period,team_id,team_minutes,abbreviation,name,nickname,photo_url,home_away,game_no,schedule,venue
0,1,0,1,31,50,4,0,81,17,43,31,12,6,7,5,14,11,26,42.31,19,46,41.3,30,72,41.67,26,68,4,4,15,43,1,2,14,27,1,10,11,0,0,19,0,19,10,21,47.62,17,7,17,32,16,39,39,14,33,15,4,0,Total,4515dc27-1a9d-4cdf-8fdb-f7030b8aa1e3,40,UP,UP,Fighting Maroons,https://arinola.sgp1.digitaloceanspaces.com/store/24cbd6d11eb6a23ca36aea6f05b4ce80.png,home,46,10/20/2019 16:00:00,Ynarez Gym
0,0,0,0,5,6,0,0,11,3,12,10,2,0,2,1,7,0,3,0,5,12,41.67,5,15,33.33,4,14,1,1,0,5,0,0,5,10,1,4,5,0,0,4,0,4,1,1,100,5,2,0,10,5,12,0,0,3,2,-8,0,1,4515dc27-1a9d-4cdf-8fdb-f7030b8aa1e3,10,UP,UP,Fighting Maroons,https://arinola.sgp1.digitaloceanspaces.com/store/24cbd6d11eb6a23ca36aea6f05b4ce80.png,home,46,10/20/2019 16:00:00,Ynarez Gym
0,0,0,0,8,17,2,0,25,4,15,8,7,2,1,1,1,2,7,28.57,7,15,46.67,9,22,40.91,8,21,1,1,3,12,1,1,5,9,0,1,1,0,0,6,0,6,5,6,83.33,4,2,4,12,6,13,8,3,9,10,7,0,2,4515dc27-1a9d-4cdf-8fdb-f7030b8aa1e3,10,UP,UP,Fighting Maroons,https://arinola.sgp1.digitaloceanspaces.com/store/24cbd6d11eb6a23ca36aea6f05b4ce80.png,home,46,10/20/2019 16:00:00,Ynarez Gym
0,0,0,0,8,13,2,0,21,6,8,7,1,0,2,3,3,5,8,62.5,3,11,27.27,8,19,42.11,7,18,1,1,7,14,0,1,1,4,0,1,1,0,0,4,0,4,0,3,0,6,2,3,4,2,9,17,6,10,0,-8,0,3,4515dc27-1a9d-4cdf-8fdb-f7030b8aa1e3,10,UP,UP,Fighting Maroons,https://arinola.sgp1.digitaloceanspaces.com/store/24cbd6d11eb6a23ca36aea6f05b4ce80.png,home,46,10/20/2019 16:00:00,Ynarez Gym
0,1,0,1,10,14,4,0,24,4,8,6,2,4,2,0,3,4,8,50,4,8,50,8,16,50,7,15,1,1,5,12,0,0,3,4,0,4,4,0,0,5,0,5,4,11,36.36,2,1,10,6,3,5,14,5,11,3,13,0,4,4515dc27-1a9d-4cdf-8fdb-f7030b8aa1e3,10,UP,UP,Fighting Maroons,https://arinola.sgp1.digitaloceanspaces.com/store/24cbd6d11eb6a23ca36aea6f05b4ce80.png,home,46,10/20/2019 16:00:00,Ynarez Gym
2,2,1,1,34,43,12,0,77,17,52,35,17,6,5,7,18,9,31,29.03,23,49,46.94,32,80,40,29,77,3,3,19,54,0,0,13,26,0,19,19,0,0,11,1,10,4,7,57.14,18,9,12,36,18,35,37,14,45,18,-4,0,Total,0cabf2f5-02db-40ac-9e2c-434238a30b03,40,ADU,ADU,Soaring Falcons,https://arinola.sgp1.digitaloceanspaces.com/store/78573595daf6c3bb2ddaa323d0d1147a.png,away,46,10/20/2019 16:00:00,Ynarez Gym
1,1,0,1,0,19,9,0,19,4,12,8,4,3,1,2,3,2,7,28.57,5,14,35.71,7,21,33.33,7,21,0,0,4,13,0,0,3,8,0,4,4,0,0,5,1,4,3,4,75,6,3,9,8,4,9,8,3,12,3,8,0,1,0cabf2f5-02db-40ac-9e2c-434238a30b03,10,ADU,ADU,Soaring Falcons,https://arinola.sgp1.digitaloceanspaces.com/store/78573595daf6c3bb2ddaa323d0d1147a.png,away,46,10/20/2019 16:00:00,Ynarez Gym
0,1,1,0,3,15,9,0,18,4,12,7,5,0,1,1,3,2,10,20,6,11,54.55,8,21,38.1,5,18,3,3,5,17,0,0,3,4,0,6,6,0,0,1,0,1,0,0,0,4,2,0,8,4,6,10,4,15,5,-7,0,2,0cabf2f5-02db-40ac-9e2c-434238a30b03,10,ADU,ADU,Soaring Falcons,https://arinola.sgp1.digitaloceanspaces.com/store/78573595daf6c3bb2ddaa323d0d1147a.png,away,46,10/20/2019 16:00:00,Ynarez Gym
0,0,0,0,22,7,9,0,29,9,16,12,4,2,3,2,3,3,9,33.33,10,14,71.43,13,23,56.52,13,23,0,0,7,14,0,0,6,9,0,4,4,0,0,1,0,1,0,2,0,8,4,0,16,8,12,13,5,11,7,8,0,3,0cabf2f5-02db-40ac-9e2c-434238a30b03,10,ADU,ADU,Soaring Falcons,https://arinola.sgp1.digitaloceanspaces.com/store/78573595daf6c3bb2ddaa323d0d1147a.png,away,46,10/20/2019 16:00:00,Ynarez Gym
1,0,0,0,9,2,12,0,11,0,12,8,4,1,0,2,9,2,5,40,2,10,20,4,15,26.67,4,15,0,0,3,10,0,0,1,5,0,5,5,0,0,4,0,4,1,1,100,0,0,3,4,2,8,6,2,7,3,-13,0,4,0cabf2f5-02db-40ac-9e2c-434238a30b03,10,ADU,ADU,Soaring Falcons,https://arinola.sgp1.digitaloceanspaces.com/store/78573595daf6c3bb2ddaa323d0d1147a.png,away,46,10/20/2019 16:00:00,Ynarez Gym
