team_turnovers,team_rebounds,team_offensive_rebounds,team_defensive_rebounds,bench_points,starter_points,biggest_lead,biggest_scoring_run,points,assists,rebounds,defensive_rebounds,offensive_rebounds,steals,blocks,blocks_received,turnovers,three_points_made,three_point_attempts,three_point_percentage,two_points_made,two_point_attempts,two_point_percentage,field_goals_made,field_goal_attempts,field_goal_percentage,contested_field_goals_made,contested_field_goal_attempts,uncontested_field_goals_made,uncontested_field_goal_attempts,jumpshots_made,jumpshot_attempts,dunks_made,dunk_attempts,layups_made,layup_attempts,offensive_fouls,defensive_fouls,personal_fouls,technical_fouls,unsportsmanlike_fouls,fouls_received,offensive_fouls_received,defensive_fouls_received,free_throws_made,free_throw_attempts,free_throw_percentage,fastbreak_points,fastbreak_attempts,turnover_points,points_in_the_paint,points_in_the_paint_made,points_in_the_paint_attempts,perimeter_points,perimeter_points_made,perimeter_point_attempts,second_chance_points,plus_minus,minutes_played,period,team_id,team_minutes,abbreviation,name,nickname,photo_url,home_away,game_no,schedule,venue
1,0,0,0,20,7,23,0,27,6,16,12,4,0,0,0,6,3,8,37.5,7,11,63.64,10,19,52.63,10,19,0,0,6,15,0,0,4,4,0,9,9,0,0,4,0,4,4,6,66.67,2,0,0,10,NA,NA,13,NA,NA,8,1,0,3,98581eee-6023-484e-831c-c6db65f111ac,10,UST,UST,Growling Tigers,https://arinola.sgp1.digitaloceanspaces.com/store/4b045c3fbf79f9786e51a0f57b3ed732.png,home,43,10/19/2019 14:00:00,Ynarez Gym
0,0,0,0,2,21,23,0,23,5,19,12,7,2,1,2,2,4,14,28.57,5,10,50,9,24,37.5,9,24,0,0,4,16,0,0,5,8,0,4,4,0,0,1,0,1,1,2,50,8,4,4,10,NA,NA,12,NA,NA,3,3,0,4,98581eee-6023-484e-831c-c6db65f111ac,10,UST,UST,Growling Tigers,https://arinola.sgp1.digitaloceanspaces.com/store/4b045c3fbf79f9786e51a0f57b3ed732.png,home,43,10/19/2019 14:00:00,Ynarez Gym
0,0,0,0,35,41,3,0,76,16,30,23,7,5,2,1,9,9,26,34.62,18,41,43.9,27,67,40.3,26,65,1,2,14,36,0,0,13,31,1,11,12,0,0,19,1,18,13,21,61.9,6,2,22,34,NA,NA,29,NA,NA,6,-12,0,Total,12c6608e-af76-4e58-b428-8561b15bbc76,40,NU,NU,Bulldogs,https://arinola.sgp1.digitaloceanspaces.com/store/0d7c65e9e36355a9616b937d7a042d66.png,away,43,10/19/2019 14:00:00,Ynarez Gym
0,0,0,0,2,16,2,0,18,4,9,7,2,2,0,0,4,3,6,50,4,9,44.44,7,15,46.67,7,14,0,1,5,9,0,0,2,6,0,2,2,0,0,2,1,1,1,2,50,2,1,2,6,NA,NA,11,NA,NA,0,1,0,1,12c6608e-af76-4e58-b428-8561b15bbc76,10,NU,NU,Bulldogs,https://arinola.sgp1.digitaloceanspaces.com/store/0d7c65e9e36355a9616b937d7a042d66.png,away,43,10/19/2019 14:00:00,Ynarez Gym
0,0,0,0,9,3,3,0,12,4,2,2,0,1,0,0,3,1,6,16.67,4,6,66.67,5,12,41.67,4,11,1,1,2,8,0,0,3,4,1,4,5,0,0,4,0,4,1,2,50,2,1,4,8,NA,NA,3,NA,NA,0,-9,0,2,12c6608e-af76-4e58-b428-8561b15bbc76,10,NU,NU,Bulldogs,https://arinola.sgp1.digitaloceanspaces.com/store/0d7c65e9e36355a9616b937d7a042d66.png,away,43,10/19/2019 14:00:00,Ynarez Gym
0,0,0,0,13,13,3,0,26,6,8,6,2,1,0,0,0,3,5,60,5,15,33.33,8,20,40,8,20,0,0,5,8,0,0,3,12,0,4,4,0,0,9,0,9,7,11,63.64,0,0,11,10,NA,NA,9,NA,NA,2,-1,0,3,12c6608e-af76-4e58-b428-8561b15bbc76,10,NU,NU,Bulldogs,https://arinola.sgp1.digitaloceanspaces.com/store/0d7c65e9e36355a9616b937d7a042d66.png,away,43,10/19/2019 14:00:00,Ynarez Gym
0,0,0,0,11,9,3,0,20,2,11,8,3,1,2,1,2,2,9,22.22,5,11,45.45,7,20,35,7,20,0,0,2,11,0,0,5,9,0,1,1,0,0,4,0,4,4,6,66.67,2,0,5,10,NA,NA,6,NA,NA,4,-3,0,4,12c6608e-af76-4e58-b428-8561b15bbc76,10,NU,NU,Bulldogs,https://arinola.sgp1.digitaloceanspaces.com/store/0d7c65e9e36355a9616b937d7a042d66.png,away,43,10/19/2019 14:00:00,Ynarez Gym
0,0,0,0,39,45,9,0,84,21,46,26,20,3,3,6,6,16,42,38.1,12,38,31.58,28,80,35,23,72,5,8,21,66,1,1,6,13,0,13,14,0,1,23,2,21,12,23,52.17,4,2,24,18,NA,NA,54,NA,NA,22,6,0,Total,98581eee-6023-484e-831c-c6db65f111ac,40,UST,UST,Growling Tigers,https://arinola.sgp1.digitaloceanspaces.com/store/4b045c3fbf79f9786e51a0f57b3ed732.png,home,42,10/16/2019 16:00:00,MOA Arena
0,0,0,0,12,11,4,0,23,7,11,8,3,0,0,1,2,7,13,53.85,1,5,20,8,18,44.44,7,17,1,1,8,17,0,0,0,1,0,4,4,0,0,2,0,2,0,0,0,0,0,0,2,NA,NA,21,NA,NA,3,1,0,1,98581eee-6023-484e-831c-c6db65f111ac,10,UST,UST,Growling Tigers,https://arinola.sgp1.digitaloceanspaces.com/store/4b045c3fbf79f9786e51a0f57b3ed732.png,home,42,10/16/2019 16:00:00,MOA Arena
0,0,0,0,14,11,9,0,25,7,11,5,6,0,0,1,2,5,7,71.43,4,13,30.77,9,20,45,9,20,0,0,7,18,1,1,1,1,0,3,3,0,0,7,1,6,2,7,28.57,0,0,11,6,NA,NA,17,NA,NA,11,6,0,2,98581eee-6023-484e-831c-c6db65f111ac,10,UST,UST,Growling Tigers,https://arinola.sgp1.digitaloceanspaces.com/store/4b045c3fbf79f9786e51a0f57b3ed732.png,home,42,10/16/2019 16:00:00,MOA Arena
0,0,0,0,8,4,9,0,12,4,16,9,7,1,3,2,2,1,13,7.69,4,11,36.36,5,24,20.83,3,21,2,3,2,18,0,0,3,6,0,5,5,0,0,5,1,4,1,2,50,2,1,2,6,NA,NA,5,NA,NA,5,-4,0,3,98581eee-6023-484e-831c-c6db65f111ac,10,UST,UST,Growling Tigers,https://arinola.sgp1.digitaloceanspaces.com/store/4b045c3fbf79f9786e51a0f57b3ed732.png,home,42,10/16/2019 16:00:00,MOA Arena
0,0,0,0,5,19,9,0,24,3,8,4,4,2,0,2,0,3,9,33.33,3,9,33.33,6,18,33.33,4,14,2,4,4,13,0,0,2,5,0,1,2,0,1,9,0,9,9,14,64.29,2,1,11,4,NA,NA,11,NA,NA,3,3,0,4,98581eee-6023-484e-831c-c6db65f111ac,10,UST,UST,Growling Tigers,https://arinola.sgp1.digitaloceanspaces.com/store/4b045c3fbf79f9786e51a0f57b3ed732.png,home,42,10/16/2019 16:00:00,MOA Arena
1,0,0,0,32,46,4,0,78,20,48,35,13,2,6,3,17,12,36,33.33,16,30,53.33,28,66,42.42,25,60,3,6,20,53,0,0,8,13,2,19,23,0,2,14,0,14,10,15,66.67,7,3,9,29,NA,NA,39,NA,NA,23,-6,0,Total,4515dc27-1a9d-4cdf-8fdb-f7030b8aa1e3,40,UP,UP,Fighting Maroons,https://arinola.sgp1.digitaloceanspaces.com/store/24cbd6d11eb6a23ca36aea6f05b4ce80.png,away,42,10/16/2019 16:00:00,MOA Arena
0,0,0,0,3,19,4,0,22,7,10,7,3,1,1,0,1,3,11,27.27,5,7,71.43,8,18,44.44,8,17,0,1,8,18,0,0,0,0,0,2,2,0,0,4,0,4,3,4,75,0,0,0,8,NA,NA,11,NA,NA,6,-1,0,1,4515dc27-1a9d-4cdf-8fdb-f7030b8aa1e3,10,UP,UP,Fighting Maroons,https://arinola.sgp1.digitaloceanspaces.com/store/24cbd6d11eb6a23ca36aea6f05b4ce80.png,away,42,10/16/2019 16:00:00,MOA Arena
0,0,0,0,17,2,4,0,19,4,9,7,2,0,1,0,6,4,8,50,3,6,50,7,14,50,7,13,0,1,6,13,0,0,1,1,1,6,7,0,0,3,0,3,1,2,50,0,0,6,2,NA,NA,16,NA,NA,4,-6,0,2,4515dc27-1a9d-4cdf-8fdb-f7030b8aa1e3,10,UP,UP,Fighting Maroons,https://arinola.sgp1.digitaloceanspaces.com/store/24cbd6d11eb6a23ca36aea6f05b4ce80.png,away,42,10/16/2019 16:00:00,MOA Arena
1,0,0,0,2,14,4,0,16,4,18,12,6,1,2,3,4,2,11,18.18,3,9,33.33,5,20,25,3,17,2,3,3,15,0,0,2,5,1,4,5,0,0,5,0,5,4,5,80,4,2,3,6,NA,NA,6,NA,NA,9,4,0,3,4515dc27-1a9d-4cdf-8fdb-f7030b8aa1e3,10,UP,UP,Fighting Maroons,https://arinola.sgp1.digitaloceanspaces.com/store/24cbd6d11eb6a23ca36aea6f05b4ce80.png,away,42,10/16/2019 16:00:00,MOA Arena
0,0,0,0,10,11,4,0,21,5,11,9,2,0,2,0,6,3,6,50,5,8,62.5,8,14,57.14,7,13,1,1,3,7,0,0,5,7,0,7,9,0,2,2,0,2,2,4,50,3,1,0,13,NA,NA,6,NA,NA,4,-3,0,4,4515dc27-1a9d-4cdf-8fdb-f7030b8aa1e3,10,UP,UP,Fighting Maroons,https://arinola.sgp1.digitaloceanspaces.com/store/24cbd6d11eb6a23ca36aea6f05b4ce80.png,away,42,10/16/2019 16:00:00,MOA Arena
0,0,0,0,25,40,10,0,65,12,53,31,22,4,6,4,24,3,17,17.65,20,45,44.44,23,62,37.1,22,61,1,1,11,39,1,1,11,22,2,2,7,2,1,22,2,20,16,25,64,8,4,29,34,NA,NA,15,NA,NA,25,10,0,Total,6109d7cd-c824-4372-ab79-aea01b0f1a76,40,ATENEO,ATENEO,Blue Eagles,https://arinola.sgp1.digitaloceanspaces.com/store/3083115120133a1de8af0a80ae32657f.png,home,41,10/16/2019 12:30:00,MOA Arena
0,0,0,0,6,9,7,0,15,3,6,5,1,1,1,0,8,1,3,33.33,6,8,75,7,11,63.64,7,11,0,0,4,8,0,0,3,3,0,1,1,0,0,2,1,1,0,0,0,2,1,9,12,NA,NA,3,NA,NA,0,-3,0,1,6109d7cd-c824-4372-ab79-aea01b0f1a76,10,ATENEO,ATENEO,Blue Eagles,https://arinola.sgp1.digitaloceanspaces.com/store/3083115120133a1de8af0a80ae32657f.png,home,41,10/16/2019 12:30:00,MOA Arena
0,0,0,0,7,7,7,0,14,3,13,10,3,0,1,0,8,1,6,16.67,4,10,40,5,16,31.25,5,16,0,0,4,12,0,0,1,4,0,0,0,0,0,5,0,5,3,4,75,0,0,4,6,NA,NA,5,NA,NA,6,-8,0,2,6109d7cd-c824-4372-ab79-aea01b0f1a76,10,ATENEO,ATENEO,Blue Eagles,https://arinola.sgp1.digitaloceanspaces.com/store/3083115120133a1de8af0a80ae32657f.png,home,41,10/16/2019 12:30:00,MOA Arena
0,0,0,0,5,12,7,0,17,3,17,9,8,1,2,3,5,1,7,14.29,4,11,36.36,5,18,27.78,4,17,1,1,2,10,1,1,2,7,2,0,5,2,1,6,1,5,6,8,75,2,1,6,6,NA,NA,5,NA,NA,8,10,0,3,6109d7cd-c824-4372-ab79-aea01b0f1a76,10,ATENEO,ATENEO,Blue Eagles,https://arinola.sgp1.digitaloceanspaces.com/store/3083115120133a1de8af0a80ae32657f.png,home,41,10/16/2019 12:30:00,MOA Arena
0,0,0,0,7,12,10,0,19,3,17,7,10,2,2,1,3,0,1,0,6,16,37.5,6,17,35.29,6,17,0,0,1,9,0,0,5,8,0,1,1,0,0,9,0,9,7,13,53.85,4,2,10,10,NA,NA,2,NA,NA,11,11,0,4,6109d7cd-c824-4372-ab79-aea01b0f1a76,10,ATENEO,ATENEO,Blue Eagles,https://arinola.sgp1.digitaloceanspaces.com/store/3083115120133a1de8af0a80ae32657f.png,home,41,10/16/2019 12:30:00,MOA Arena
3,2,0,2,28,27,13,0,55,13,34,22,12,10,4,6,24,8,31,25.81,14,37,37.84,22,68,32.35,22,68,0,0,10,39,0,0,12,29,2,20,22,0,0,5,2,3,3,3,100,10,5,18,24,NA,NA,28,NA,NA,15,-10,0,Total,87c66828-7455-4d05-92b9-a85bebc97bd8,40,FEU,FEU,Tamaraws,https://arinola.sgp1.digitaloceanspaces.com/store/12251ab95fc457b1769742a94b6a9e59.png,away,41,10/16/2019 12:30:00,MOA Arena
1,0,0,0,10,8,3,0,18,4,5,3,2,4,0,1,6,2,7,28.57,6,8,75,8,15,53.33,8,15,0,0,3,8,0,0,5,7,1,1,2,0,0,1,0,1,0,0,0,4,2,12,10,NA,NA,8,NA,NA,4,3,0,1,87c66828-7455-4d05-92b9-a85bebc97bd8,10,FEU,FEU,Tamaraws,https://arinola.sgp1.digitaloceanspaces.com/store/12251ab95fc457b1769742a94b6a9e59.png,away,41,10/16/2019 12:30:00,MOA Arena
0,1,0,1,8,14,11,0,22,5,12,8,4,5,0,1,4,4,11,36.36,5,13,38.46,9,24,37.5,9,24,0,0,4,12,0,0,5,12,0,5,5,0,0,0,0,0,0,0,0,6,3,6,10,NA,NA,12,NA,NA,4,8,0,2,87c66828-7455-4d05-92b9-a85bebc97bd8,10,FEU,FEU,Tamaraws,https://arinola.sgp1.digitaloceanspaces.com/store/12251ab95fc457b1769742a94b6a9e59.png,away,41,10/16/2019 12:30:00,MOA Arena
2,0,0,0,4,3,13,0,7,2,8,5,3,1,3,2,8,0,6,0,2,9,22.22,2,15,13.33,2,15,0,0,1,11,0,0,1,4,1,5,6,0,0,3,2,1,3,3,100,0,0,0,2,NA,NA,2,NA,NA,4,-10,0,3,87c66828-7455-4d05-92b9-a85bebc97bd8,10,FEU,FEU,Tamaraws,https://arinola.sgp1.digitaloceanspaces.com/store/12251ab95fc457b1769742a94b6a9e59.png,away,41,10/16/2019 12:30:00,MOA Arena
0,1,0,1,6,2,13,0,8,2,9,6,3,0,1,2,6,2,7,28.57,1,7,14.29,3,14,21.43,3,14,0,0,2,8,0,0,1,6,0,9,9,0,0,1,0,1,0,0,0,0,0,0,2,NA,NA,6,NA,NA,3,-11,0,4,87c66828-7455-4d05-92b9-a85bebc97bd8,10,FEU,FEU,Tamaraws,https://arinola.sgp1.digitaloceanspaces.com/store/12251ab95fc457b1769742a94b6a9e59.png,away,41,10/16/2019 12:30:00,MOA Arena
0,0,0,0,21,44,6,0,65,19,47,30,17,8,4,6,10,3,12,25,25,65,38.46,28,77,36.36,25,73,3,4,23,71,2,2,3,4,1,12,13,0,0,10,0,10,6,11,54.55,10,5,22,36,NA,NA,23,NA,NA,19,6,0,Total,87d50ca4-0c79-4ba3-83d5-18a06e52f061,40,DLSU,DLSU,Green Archers,https://arinola.sgp1.digitaloceanspaces.com/store/aec13e6edacd3c38c8a6c1ae6d3d23ee.png,home,40,10/16/2019 10:30:00,MOA Arena
0,0,0,0,4,10,2,0,14,6,9,8,1,1,1,0,2,0,1,0,7,17,41.18,7,18,38.89,6,16,1,2,6,17,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,2,6,NA,NA,8,NA,NA,2,1,0,1,87d50ca4-0c79-4ba3-83d5-18a06e52f061,10,DLSU,DLSU,Green Archers,https://arinola.sgp1.digitaloceanspaces.com/store/aec13e6edacd3c38c8a6c1ae6d3d23ee.png,home,40,10/16/2019 10:30:00,MOA Arena
0,0,0,0,7,5,3,0,12,3,14,10,4,1,0,2,3,1,6,16.67,4,14,28.57,5,20,25,5,20,0,0,4,18,0,0,1,2,0,5,5,0,0,3,0,3,1,1,100,2,1,2,8,NA,NA,3,NA,NA,5,-3,0,2,87d50ca4-0c79-4ba3-83d5-18a06e52f061,10,DLSU,DLSU,Green Archers,https://arinola.sgp1.digitaloceanspaces.com/store/aec13e6edacd3c38c8a6c1ae6d3d23ee.png,home,40,10/16/2019 10:30:00,MOA Arena
0,0,0,0,2,14,3,0,16,4,11,5,6,3,3,2,3,1,2,50,6,17,35.29,7,19,36.84,6,18,1,1,6,18,1,1,0,0,0,3,3,0,0,3,0,3,1,2,50,4,2,8,10,NA,NA,5,NA,NA,6,-2,0,3,87d50ca4-0c79-4ba3-83d5-18a06e52f061,10,DLSU,DLSU,Green Archers,https://arinola.sgp1.digitaloceanspaces.com/store/aec13e6edacd3c38c8a6c1ae6d3d23ee.png,home,40,10/16/2019 10:30:00,MOA Arena
0,0,0,0,8,15,6,0,23,6,13,7,6,3,0,2,2,1,3,33.33,8,17,47.06,9,20,45,8,19,1,1,7,18,1,1,1,1,1,2,3,0,0,4,0,4,4,8,50,4,2,10,12,NA,NA,7,NA,NA,6,10,0,4,87d50ca4-0c79-4ba3-83d5-18a06e52f061,10,DLSU,DLSU,Green Archers,https://arinola.sgp1.digitaloceanspaces.com/store/aec13e6edacd3c38c8a6c1ae6d3d23ee.png,home,40,10/16/2019 10:30:00,MOA Arena
2,1,0,1,23,36,8,0,59,8,46,33,13,3,6,4,19,6,16,37.5,17,46,36.96,23,62,37.1,21,60,2,2,20,53,0,0,3,9,0,9,10,0,1,13,1,12,7,14,50,2,1,11,32,NA,NA,20,NA,NA,11,-6,0,Total,33671853-062b-48a2-9246-fe64b2a2a15c,40,UE,UE,Red Warriors,https://arinola.sgp1.digitaloceanspaces.com/store/fd73c3847c5f2478cf392464baec0b61.png,away,40,10/16/2019 10:30:00,MOA Arena
1,0,0,0,0,13,4,0,13,1,15,10,5,1,0,1,6,2,3,66.67,3,14,21.43,5,17,29.41,4,16,1,1,4,13,0,0,1,4,0,0,0,0,0,2,0,2,1,3,33.33,0,0,2,4,NA,NA,8,NA,NA,3,-1,0,1,33671853-062b-48a2-9246-fe64b2a2a15c,10,UE,UE,Red Warriors,https://arinola.sgp1.digitaloceanspaces.com/store/fd73c3847c5f2478cf392464baec0b61.png,away,40,10/16/2019 10:30:00,MOA Arena
0,1,0,1,9,6,8,0,15,3,12,11,1,1,2,0,2,1,4,25,4,12,33.33,5,16,31.25,5,16,0,0,4,15,0,0,1,1,0,3,3,0,0,5,0,5,4,4,100,0,0,4,8,NA,NA,3,NA,NA,0,3,0,2,33671853-062b-48a2-9246-fe64b2a2a15c,10,UE,UE,Red Warriors,https://arinola.sgp1.digitaloceanspaces.com/store/fd73c3847c5f2478cf392464baec0b61.png,away,40,10/16/2019 10:30:00,MOA Arena
1,0,0,0,9,9,8,0,18,3,10,6,4,0,2,3,5,2,5,40,6,11,54.55,8,16,50,8,16,0,0,8,14,0,0,0,2,0,3,3,0,0,3,0,3,0,3,0,0,0,2,12,NA,NA,6,NA,NA,3,2,0,3,33671853-062b-48a2-9246-fe64b2a2a15c,10,UE,UE,Red Warriors,https://arinola.sgp1.digitaloceanspaces.com/store/fd73c3847c5f2478cf392464baec0b61.png,away,40,10/16/2019 10:30:00,MOA Arena
0,0,0,0,5,8,8,0,13,1,9,6,3,1,2,0,6,1,4,25,4,9,44.44,5,13,38.46,4,12,1,1,4,11,0,0,1,2,0,3,4,0,1,3,1,2,2,4,50,2,1,3,8,NA,NA,3,NA,NA,5,-10,0,4,33671853-062b-48a2-9246-fe64b2a2a15c,10,UE,UE,Red Warriors,https://arinola.sgp1.digitaloceanspaces.com/store/fd73c3847c5f2478cf392464baec0b61.png,away,40,10/16/2019 10:30:00,MOA Arena
1,0,0,0,24,34,5,0,58,11,46,30,16,1,3,3,8,9,42,21.43,13,33,39.39,22,75,29.33,21,74,1,1,16,66,0,0,6,9,0,11,11,0,0,14,4,10,5,9,55.56,7,3,5,16,NA,NA,37,NA,NA,13,-14,0,Total,98581eee-6023-484e-831c-c6db65f111ac,40,UST,UST,Growling Tigers,https://arinola.sgp1.digitaloceanspaces.com/store/4b045c3fbf79f9786e51a0f57b3ed732.png,home,39,10/13/2019 16:00:00,MOA Arena
1,0,0,0,3,7,5,0,10,3,13,11,2,1,0,1,3,1,12,8.33,3,5,60,4,17,23.53,4,17,0,0,3,16,0,0,1,1,0,2,2,0,0,3,1,2,1,2,50,2,1,4,2,NA,NA,7,NA,NA,1,-4,0,1,98581eee-6023-484e-831c-c6db65f111ac,10,UST,UST,Growling Tigers,https://arinola.sgp1.digitaloceanspaces.com/store/4b045c3fbf79f9786e51a0f57b3ed732.png,home,39,10/13/2019 16:00:00,MOA Arena
0,0,0,0,3,10,5,0,13,3,15,8,7,0,1,1,4,3,8,37.5,2,12,16.67,5,20,25,5,20,0,0,4,19,0,0,1,1,0,2,2,0,0,3,1,2,0,0,0,0,0,0,4,NA,NA,9,NA,NA,11,1,0,2,98581eee-6023-484e-831c-c6db65f111ac,10,UST,UST,Growling Tigers,https://arinola.sgp1.digitaloceanspaces.com/store/4b045c3fbf79f9786e51a0f57b3ed732.png,home,39,10/13/2019 16:00:00,MOA Arena
0,0,0,0,9,7,5,0,16,1,9,5,4,0,1,1,0,0,8,0,6,11,54.55,6,19,31.58,6,19,0,0,2,13,0,0,4,6,0,4,4,0,0,7,2,5,4,7,57.14,2,1,1,8,NA,NA,4,NA,NA,1,-3,0,3,98581eee-6023-484e-831c-c6db65f111ac,10,UST,UST,Growling Tigers,https://arinola.sgp1.digitaloceanspaces.com/store/4b045c3fbf79f9786e51a0f57b3ed732.png,home,39,10/13/2019 16:00:00,MOA Arena
0,0,0,0,9,10,5,0,19,4,9,6,3,0,1,0,1,5,14,35.71,2,5,40,7,19,36.84,6,18,1,1,7,18,0,0,0,1,0,3,3,0,0,1,0,1,0,0,0,3,1,0,2,NA,NA,17,NA,NA,0,-8,0,4,98581eee-6023-484e-831c-c6db65f111ac,10,UST,UST,Growling Tigers,https://arinola.sgp1.digitaloceanspaces.com/store/4b045c3fbf79f9786e51a0f57b3ed732.png,home,39,10/13/2019 16:00:00,MOA Arena
0,2,2,0,39,33,16,0,72,12,46,34,12,5,3,3,8,9,27,33.33,22,46,47.83,31,73,42.47,25,67,6,6,16,45,0,2,15,26,4,10,15,1,0,11,0,11,1,3,33.33,9,4,5,32,NA,NA,39,NA,NA,6,14,0,Total,87c66828-7455-4d05-92b9-a85bebc97bd8,40,FEU,FEU,Tamaraws,https://arinola.sgp1.digitaloceanspaces.com/store/12251ab95fc457b1769742a94b6a9e59.png,away,39,10/13/2019 16:00:00,MOA Arena
0,0,0,0,10,4,4,0,14,3,11,10,1,1,1,0,2,2,4,50,4,14,28.57,6,18,33.33,5,17,1,1,6,14,0,1,0,3,1,2,3,0,0,2,0,2,0,0,0,0,0,2,2,NA,NA,12,NA,NA,0,4,0,1,87c66828-7455-4d05-92b9-a85bebc97bd8,10,FEU,FEU,Tamaraws,https://arinola.sgp1.digitaloceanspaces.com/store/12251ab95fc457b1769742a94b6a9e59.png,away,39,10/13/2019 16:00:00,MOA Arena
0,1,1,0,2,10,9,0,12,0,13,8,5,3,1,1,3,0,9,0,6,10,60,6,19,31.58,6,19,0,0,1,11,0,1,5,7,1,2,3,0,0,2,0,2,0,1,0,2,1,0,10,NA,NA,2,NA,NA,2,-1,0,2,87c66828-7455-4d05-92b9-a85bebc97bd8,10,FEU,FEU,Tamaraws,https://arinola.sgp1.digitaloceanspaces.com/store/12251ab95fc457b1769742a94b6a9e59.png,away,39,10/13/2019 16:00:00,MOA Arena
0,1,1,0,11,8,9,0,19,3,12,8,4,0,1,1,3,2,4,50,6,13,46.15,8,17,47.06,6,15,2,2,3,8,0,0,5,9,2,5,8,1,0,4,0,4,1,2,50,5,2,0,10,NA,NA,8,NA,NA,1,3,0,3,87c66828-7455-4d05-92b9-a85bebc97bd8,10,FEU,FEU,Tamaraws,https://arinola.sgp1.digitaloceanspaces.com/store/12251ab95fc457b1769742a94b6a9e59.png,away,39,10/13/2019 16:00:00,MOA Arena
0,0,0,0,16,11,16,0,27,6,10,8,2,1,0,1,0,5,10,50,6,9,66.67,11,19,57.89,8,16,3,3,6,12,0,0,5,7,0,1,1,0,0,3,0,3,0,0,0,2,1,3,10,NA,NA,17,NA,NA,3,8,0,4,87c66828-7455-4d05-92b9-a85bebc97bd8,10,FEU,FEU,Tamaraws,https://arinola.sgp1.digitaloceanspaces.com/store/12251ab95fc457b1769742a94b6a9e59.png,away,39,10/13/2019 16:00:00,MOA Arena
2,1,1,0,19,50,4,0,69,15,52,30,22,3,1,6,17,8,25,32,18,50,36,26,75,34.67,25,73,1,2,15,48,0,0,11,27,2,16,20,2,0,17,3,14,9,13,69.23,13,5,10,22,NA,NA,38,NA,NA,12,-8,0,Total,87d50ca4-0c79-4ba3-83d5-18a06e52f061,40,DLSU,DLSU,Green Archers,https://arinola.sgp1.digitaloceanspaces.com/store/aec13e6edacd3c38c8a6c1ae6d3d23ee.png,home,38,10/13/2019 12:00:00,MOA Arena
0,1,1,0,3,12,4,0,15,4,13,7,6,2,0,1,4,2,6,33.33,4,12,33.33,6,18,33.33,6,17,0,1,4,13,0,0,2,5,2,3,6,1,0,2,0,2,1,2,50,2,1,5,4,NA,NA,10,NA,NA,3,-4,0,1,87d50ca4-0c79-4ba3-83d5-18a06e52f061,10,DLSU,DLSU,Green Archers,https://arinola.sgp1.digitaloceanspaces.com/store/aec13e6edacd3c38c8a6c1ae6d3d23ee.png,home,38,10/13/2019 12:00:00,MOA Arena
1,0,0,0,8,7,4,0,15,2,14,10,4,0,0,2,9,1,3,33.33,4,11,36.36,5,14,35.71,5,14,0,0,2,6,0,0,3,8,0,2,2,0,0,6,2,4,4,4,100,2,1,0,6,NA,NA,5,NA,NA,4,-2,0,2,87d50ca4-0c79-4ba3-83d5-18a06e52f061,10,DLSU,DLSU,Green Archers,https://arinola.sgp1.digitaloceanspaces.com/store/aec13e6edacd3c38c8a6c1ae6d3d23ee.png,home,38,10/13/2019 12:00:00,MOA Arena
1,0,0,0,3,17,4,0,20,5,12,6,6,0,0,0,3,3,9,33.33,4,10,40,7,19,36.84,7,19,0,0,4,13,0,0,3,6,0,5,5,0,0,6,0,6,3,5,60,4,1,3,6,NA,NA,11,NA,NA,2,1,0,3,87d50ca4-0c79-4ba3-83d5-18a06e52f061,10,DLSU,DLSU,Green Archers,https://arinola.sgp1.digitaloceanspaces.com/store/aec13e6edacd3c38c8a6c1ae6d3d23ee.png,home,38,10/13/2019 12:00:00,MOA Arena
0,0,0,0,5,14,4,0,19,4,13,7,6,1,1,3,1,2,7,28.57,6,17,35.29,8,24,33.33,7,23,1,1,5,16,0,0,3,8,0,6,7,1,0,3,1,2,1,2,50,5,2,2,6,NA,NA,12,NA,NA,3,-3,0,4,87d50ca4-0c79-4ba3-83d5-18a06e52f061,10,DLSU,DLSU,Green Archers,https://arinola.sgp1.digitaloceanspaces.com/store/aec13e6edacd3c38c8a6c1ae6d3d23ee.png,home,38,10/13/2019 12:00:00,MOA Arena
1,0,0,0,24,53,13,0,77,13,48,26,22,5,6,1,10,8,31,25.81,19,48,39.58,27,79,34.18,25,75,2,4,10,48,3,3,14,28,3,14,17,0,0,18,2,16,15,18,83.33,9,4,17,36,NA,NA,26,NA,NA,28,8,0,Total,6109d7cd-c824-4372-ab79-aea01b0f1a76,40,ATENEO,ATENEO,Blue Eagles,https://arinola.sgp1.digitaloceanspaces.com/store/3083115120133a1de8af0a80ae32657f.png,away,38,10/13/2019 12:00:00,MOA Arena
0,0,0,0,4,15,4,0,19,4,12,6,6,0,1,0,2,3,9,33.33,3,10,30,6,19,31.58,6,18,0,1,4,14,0,0,2,5,0,2,2,0,0,5,2,3,4,5,80,0,0,5,4,NA,NA,11,NA,NA,7,4,0,1,6109d7cd-c824-4372-ab79-aea01b0f1a76,10,ATENEO,ATENEO,Blue Eagles,https://arinola.sgp1.digitaloceanspaces.com/store/3083115120133a1de8af0a80ae32657f.png,away,38,10/13/2019 12:00:00,MOA Arena
